date,hub_name,price_with_vat,price_without_vat
2017-06-02,CEGH,7821.41,6517.84
2017-06-06,TTF,7004.52,5837.1
2017-06-06,Gaspool,7245.27,6037.72
2017-06-06,NCG,7097.11,5914.26
2017-06-06,CEGH,7778.61,6482.17
2017-06-07,TTF,7067.76,5889.8
2017-06-07,Gaspool,7112.31,5926.92
2017-06-07,NCG,7193.98,5994.98
2017-06-07,CEGH,7628.34,6356.95
2017-06-08,TTF,7069.33,5891.11
2017-06-08,Gaspool,7235.52,6029.6
2017-06-08,NCG,7261.38,6051.15
2017-06-08,CEGH,7660.24,6383.53
2017-06-09,TTF,7057.61,5881.34
2017-06-09,Gaspool,7160.91,5967.42
2017-06-09,NCG,7171.98,5976.65
2017-06-09,CEGH,7751.17,6459.31
2017-06-12,TTF,7041.59,5867.99
2017-06-12,Gaspool,7030.58,5858.82
2017-06-12,NCG,7140.63,5950.52
2017-06-12,CEGH,7727.56,6439.63
2017-06-13,TTF,7072.12,5893.43
2017-06-13,Gaspool,7116.22,5930.18
2017-06-13,NCG,7134.6,5945.5
2017-06-13,CEGH,7674.89,6395.74
2017-06-14,TTF,7019.96,5849.97
2017-06-14,Gaspool,6965.0,5804.17
2017-06-14,NCG,7129.86,5941.55
2017-06-14,CEGH,7562.16,6301.8
2017-06-15,TTF,6870.54,5725.45
2017-06-15,Gaspool,6980.39,5816.99
2017-06-15,NCG,6954.76,5795.63
2017-06-15,CEGH,7573.59,6311.32
2017-06-16,TTF,7022.2,5851.83
2017-06-16,Gaspool,6920.04,5766.7
2017-06-16,NCG,7157.19,5964.32
2017-06-16,CEGH,7529.34,6274.45
2017-06-19,TTF,7099.8,5916.5
2017-06-19,Gaspool,6924.56,5770.47
2017-06-19,NCG,7216.63,6013.86
2017-06-19,CEGH,7486.8,6239.0
2017-06-20,TTF,7119.36,5932.8
2017-06-20,Gaspool,7082.75,5902.29
2017-06-20,NCG,7284.14,6070.12
2017-06-20,CEGH,7500.17,6250.14
2017-06-21,TTF,7096.73,5913.94
2017-06-21,Gaspool,6994.55,5828.79
2017-06-21,NCG,7249.99,6041.66
2017-06-21,CEGH,7622.21,6351.84
2017-06-22,TTF,7033.58,5861.32
2017-06-22,Gaspool,7015.35,5846.12
2017-06-22,NCG,7142.91,5952.42
2017-06-22,CEGH,7500.09,6250.07
2017-06-23,TTF,6988.82,5824.02
2017-06-23,Gaspool,6890.21,5741.84
2017-06-23,NCG,7054.56,5878.8
2017-06-23,CEGH,7489.16,6240.97
2017-06-26,TTF,7113.23,5927.69
2017-06-26,Gaspool,6985.33,5821.11
2017-06-26,NCG,7215.55,6012.96
2017-06-26,CEGH,7500.57,6250.47
2017-06-27,TTF,7093.88,5911.57
2017-06-27,Gaspool,7049.97,5874.97
2017-06-27,NCG,7196.35,5996.96
2017-06-27,CEGH,7511.07,6259.22
2017-06-29,TTF,7034.72,5862.27
2017-06-29,Gaspool,7201.01,6000.84
2017-06-29,NCG,7182.54,5985.45
2017-06-29,CEGH,7703.6,6419.67
2017-06-30,TTF,7257.87,6048.22
2017-06-30,Gaspool,7164.31,5970.26
2017-06-30,NCG,7321.49,6101.24
